"direccion","barrio","comuna","mas_info","materiales","longitude","latitude"
"15 DE NOVIEMBRE DE 1889 1407","","","","","-58,38600339620095","-34,631098555346036"
"15 DE NOVIEMBRE DE 1889 1249","","","","","-58,38341350723588","-34,63084854840559"
"15 DE NOVIEMBRE DE 1889 1741","","","","","-58,38970323741682","-34,631478564744384"
"15 DE NOVIEMBRE DE 1889 1141","","","","","-58,381603584441024","-34,63072854230804"
"15 DE NOVIEMBRE DE 1889 1371","","","","","-58,38478344773288","-34,631088549616145"
"15 DE NOVIEMBRE DE 1889 1361","","","","","-58,38506343649404","-34,63100855281001"
"15 DE NOVIEMBRE DE 1889 1745","","","","","-58,3897032386324","-34,63130856862557"
"15 DE NOVIEMBRE DE 1889 1241","","","","","-58,38339350779365","-34,6308885473947"
"15 DE NOVIEMBRE DE 1889 1625","","","","","-58,388283298814244","-34,63126856260155"
"15 DE NOVIEMBRE DE 1889 1137","","","","","-58,382223557931454","-34,630778544193454"
"15 DE NOVIEMBRE DE 1889 1407","","","","","-58,385523416447654","-34,631098553001756"
"15 DE NOVIEMBRE DE 1889 1145","","","","","-58,381603584441024","-34,63072854230804"
"15 DE NOVIEMBRE DE 1889 1546","","","","","-58,38719334557724","-34,631158559788496"
"25 DE MAYO 697","","","","","-58,37144423620638","-34,59943920674145"
"25 DE MAYO 715","","","","","-58,37127424380172","-34,599379207281295"
"25 DE MAYO 392","","","","","-58,37109422302138","-34,6033591156287"
"25 DE MAYO 76","","","","","-58,37088420827843","-34,606669039101"
"25 DE MAYO 112","","","","","-58,37104420352798","-34,60638904626831"
"25 DE MAYO 114","","","","","-58,37091420872456","-34,60642904472216"
"25 DE MAYO 80","","","","","-58,370904206436926","-34,60680903600477"
"25 DE MAYO 78","","","","","-58,37090420600912","-34,60686903463601"
"25 DE MAYO 386","","","","","-58,37120421866832","-34,603319117077206"
"25 DE MAYO 390","","","","","-58,37109422302138","-34,6033591156287"
"25 DE MAYO 210","","","","","-58,37068423346572","-34,60431909173278"
"25 DE MAYO 787","","","","","-58,37160423181243","-34,59910921504726"
"25 DE MAYO 482","","","","","-58,37124422546478","-34,60212914441487"
"25 DE MAYO 552","","","","","-58,37121423228976","-34,601349162059016"
"25 DE MAYO 717","","","","","-58,37139423902727","-34,59933920877838"
"25 DE MAYO 684","","","","","-58,37149423096203","-34,59987919695031"
"ACHAVAL RODRIGUEZ, T., DR. AV. 1209","","","","","-58,35697473046101","-34,61570876506819"
"ACHAVAL RODRIGUEZ, T., DR. AV. 1350","","","","","-58,357704712353694","-34,613928809243745"
"ACHAVAL RODRIGUEZ, T., DR. AV. 1211","","","","","-58,35812470774823","-34,61208885327612"
"ALEM, LEANDRO N. AV. 428","","","","","-58,37063424783505","-34,6025991307217"
"ALEM, LEANDRO N. AV. 624","","","","","-58,370854254240236","-34,60039918197156"
"ALEM, LEANDRO N. AV. 280","","","","","-58,37042424328834","-34,60447908681588"
"ALEM, LEANDRO N. AV. 946","","","","","-58,37234421843116","-34,59660927566602"
"ALEM, LEANDRO N. AV. 734","","","","","-58,37111425225835","-34,599139211974986"
"ALEM, LEANDRO N. AV. 626","","","","","-58,37093425093842","-34,60038918258952"
"ALEM, LEANDRO N. AV. 440","","","","","-58,37078424179543","-34,602559132365116"
"ALEM, LEANDRO N. AV. 526","","","","","-58,37064425461272","-34,60158915380705"
