direccion,barrio,comuna,mas_info,materiales,longitude,latitude
Navarro 2429,Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.48966736993007,-34.590937439832665
Argerich 3916,Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.49840423293087,-34.592763088046794
"Artigas, Jose Gervasio, Gral. 3556",Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.49016342007716,-34.59181807284852
"Artigas, Jose Gervasio, Gral. 3706",Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.49124092470604,-34.59062494311944
"Artigas, Jose Gervasio, Gral. 3914",Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.4926000000515,-34.58913015211469
"Artigas, Jose Gervasio, Gral. 4124",Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.49393256503956,-34.587655900351216
Asuncion 2240,Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.489421163558305,-34.587493252826256
Asuncion 3097,Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.49946399198773,-34.593612692992295
"Beiro, Francisco Av. 2963",Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.494985666244155,-34.59538672408993
Caracas 3525,Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.48768080246756,-34.59052714952987
"Carril, Salvador Maria Del Av. 2276",Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.491068855205484,-34.58633788650167
Condarco 3750,Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.493744128250796,-34.591774719673055
Condarco 3950,Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.494969387393496,-34.590356266784426
"Cortazar, Julio 3664",Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.48746233316195,-34.596474781467165
Cuenca 3807,Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.500335124068975,-34.59506486471338
Estado Plurinacional De Bolivia 3541,Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.491115038990316,-34.5926050239348
Estado Plurinacional De Bolivia 3795,Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.49278293736113,-34.59075720518778
Helguera 3995,Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.50004493536844,-34.593100688829686
Llerena 3195,Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.481041702052735,-34.59016764405137
Melincue 2424,Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.48474255044703,-34.59707232865856
"Moran, Pedro 2247",Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.488908843743864,-34.58816235285812
"Moran, Pedro 2873",Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.49584763338192,-34.59245410261883
"Moran, Pedro 3066",Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.498351424702044,-34.59409451508762
Navarro 3005,Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.496424034718686,-34.59511195311322
Nazca Av. 3650,Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.4953507974823,-34.5939204531737
Nazca Av. 4043,Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.49775652054853,-34.59111288802372
Nazca Av. 4141,Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.498380119063306,-34.5904240516072
Nueva York 2187,Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.489450045016426,-34.58635190526789
Nueva York 2343,Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.49123678077946,-34.587457574301936
Nueva York 2643,Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.49461495399229,-34.58954914042424
Nueva York 3211,Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.50175443088322,-34.59395499553435
"Solano Lopez, F., Mariscal 2140",Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.486638912620286,-34.5880081373304
"Solano Lopez, F., Mariscal 2266",Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.48840576656032,-34.58910126722348
"Solano Lopez, F., Mariscal 3041",Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.497526199280735,-34.59464530784576
"Solano Lopez, F., Mariscal 3159",Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.49902348270224,-34.59557448332956
Terrada 3599,Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.49372642455591,-34.59361173165126
Terrada 3847,Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.49546372089937,-34.59169114620323
Tinogasta 2426,Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.4864546339994,-34.595063638200365
Venecia 3148,Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.488511840556065,-34.5968200149779
Zamudio 3225,Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.48383193405438,-34.596758970329226
Zamudio 3849,Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.49091945185358,-34.58890341390988
Rawson 362,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.42626793185961,-34.607713389201976
Sarmiento 3465,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.41443826693707,-34.60590802663431
Sarmiento 3669,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.416633771484996,-34.60551719266035
Sarmiento 4075,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.422297020581944,-34.60471194261764
Sarmiento 4271,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.424898453184916,-34.60438660817068
Sarmiento 4429,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.42776000751946,-34.60418420559051
Sarmiento 4625,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.43083179111357,-34.60397323088915
Mu?iz 178,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.42736628073494,-34.61577509371116
Mu?iz 454,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.4271651744983,-34.61877041205289
Mu?iz 360,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.42729113822313,-34.6177378830126
"Acu?a De Figueroa, Francisco 1044",Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.422030994376975,-34.59897629004684
Aguirre 17,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.43197215310761,-34.60151294461783
Estado De Israel Av. 4323,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.427048797987375,-34.59794599159701
Agrelo 3949,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.42138290579178,-34.61886214651585
Agrelo 4173,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio,-58.42514062909242,-34.61913201992286
